Date,Total Cases,Total Deaths
2020-01-30,1,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,2,0
2020-02-03,3,0
2020-02-04,3,0
2020-02-05,3,0
2020-02-06,3,0
2020-02-07,3,0
2020-02-08,3,0
2020-02-09,3,0
2020-02-10,3,0
2020-02-11,3,0
2020-02-12,3,0
2020-02-13,3,0
2020-02-14,3,0
2020-02-15,3,0
2020-02-16,3,0
2020-02-17,3,0
2020-02-18,3,0
2020-02-19,3,0
2020-02-20,3,0
2020-02-21,3,0
2020-02-22,3,0
2020-02-23,3,0
2020-02-24,3,0
2020-02-25,3,0
2020-02-26,3,0
2020-02-27,3,0
2020-02-28,3,0
2020-02-29,3,0
2020-03-01,3,0
2020-03-02,3,0
2020-03-03,5,0
