,0,1,2,3,4,5,6
0,"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,
1,,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths
2,Hubei,5917,115,52,37,67332,2871
3,Guangdong,11346,0,0,0,1350,7
4,Henan,9605,0,0,0,1272,22
5,Zhejiang,5737,0,2,0,1213,1
6,Hunan,6899,0,0,0,1018,4
7,Anhui,6324,0,0,0,990,6
8,Jiangxi,4648,0,0,0,935,1
9,Shandong,10047,0,0,0,758,6
10,Jiangsu,8051,0,0,0,631,0
11,Chongqing,3102,0,1,0,576,6
12,Sichuan,8341,0,1,0,538,3
13,Heilongjiang,3773,0,2,0,480,13
14,Beijing,2154,3,11,0,417,8
15,Shanghai,2424,0,19,0,338,3
16,Hebei,7556,0,0,0,318,6
17,Fujian,3941,0,0,0,296,1
18,Guangxi,4926,0,0,0,252,2
19,Shaanxi,3864,0,0,0,245,1
20,Yunnan,4830,0,2,0,174,2
21,Hainan,934,0,0,0,168,5
22,Guizhou,3600,0,0,0,146,2
23,Tianjin,1560,0,17,0,136,3
24,Shanxi,3718,0,0,0,133,0
25,Liaoning,4359,0,36,0,125,1
26,Hong Kong SAR,745,0,0,0,100,2
27,Jilin,2704,0,0,0,93,1
28,Gansu,2637,0,0,0,91,2
29,Xinjiang,2487,0,0,0,76,3
30,Ningxia,688,1,0,0,75,0
31,Inner Mongolia,2534,0,0,1,75,1
32,Taipei and environs,2359,1,0,0,42,1
33,Qinghai,603,0,0,0,18,0
34,Macao SAR,66,0,0,0,10,0
35,Xizang,344,0,0,0,1,0
36,Total,142823,120,143,38,80422,2984
,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since 
Total 
Transmission 
Reporting Country 
confirmed* 
confirmed 
new 
last reported 
deaths 
classification† 
cases 
new cases 
deaths 
case**",,,,,,
1,Western Pacific Region,,,,,,
2,Republic of Korea,5328,516,32,4,Local transmission,0
3,Japan,284,16,6,0,Local transmission,0
4,Singapore,110,2,0,0,Local transmission,0
5,Malaysia,50,21,0,0,Local transmission,0
6,Australia,43,10,1,0,Local transmission,0
7,Viet Nam,16,0,0,0,Local transmission,20
8,Philippines,3,0,1,0,Imported cases only,28
9,New Zealand,2,0,0,0,Imported cases only,1
10,Cambodia,1,0,0,0,Imported cases only,36
11,European Region,,,,,,
12,Italy,2502,466,80,28,Local transmission,0
13,France,212,21,4,1,Local transmission,0
14,Germany,196,39,0,0,Local transmission,0
15,Spain,151,37,0,0,Local transmission,0
16,"the United 
Kingdom¶",51,12,0,0,Local transmission,0
17,Switzerland,37,7,0,0,Local transmission,0
