,0,1,2,3,4,5,6
0,,Announcement posted on the WHO Event Information Site (EIS),,,,,TOTAL
1,WHO Region,6 February,12 February,21 February,28 February,5 March,
2,African Region,-,1,-,-,-,1
3,"Region of the 
Americas",10,2,-,-,"1* 
5* updates",13
4,"Eastern 
Mediterranean 
Region",-,1,-,"1* 
1* update",1*,3
5,European Region,2,1,2,"5 (3*) 
1* update",2*,12
6,"South-East Asia 
Region",1,,,,,1
7,"Western Pacific 
Region",9,3,2,"1* 
6* updates","- 
8* updates",15
8,TOTAL,22,8,4,7,4,45
,0,1
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
,0,1
0,,
1,,
2,,
3,,
4,,
5,,
,0,1,2,3,4,5,6
0,"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,
1,,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths
2,Hubei,5917,17,13,17,67760,3024
3,Guangdong,11346,1,0,0,1353,8
4,Henan,9605,0,0,0,1272,22
5,Zhejiang,5737,0,0,0,1215,1
6,Hunan,6899,0,0,0,1018,4
7,Anhui,6324,0,0,0,990,6
8,Jiangxi,4648,0,0,0,935,1
9,Shandong,10047,0,0,0,758,6
10,Jiangsu,8051,0,0,0,631,0
11,Chongqing,3102,0,0,0,576,6
12,Sichuan,8341,0,0,0,539,3
13,Heilongjiang,3773,0,0,0,481,13
14,Beijing,2154,1,9,0,429,8
15,Shanghai,2424,0,12,0,342,3
16,Hebei,7556,0,0,0,318,6
17,Fujian,3941,0,0,0,296,1
18,Guangxi,4926,0,0,0,252,2
19,Shaanxi,3864,0,0,0,245,1
20,Yunnan,4830,0,0,0,174,2
21,Hainan,934,0,0,0,168,6
22,Guizhou,3600,0,1,0,146,2
23,Tianjin,1560,0,1,0,136,3
24,Shanxi,3718,0,0,0,133,0
25,Liaoning,4359,0,0,0,125,1
26,Gansu,2637,0,0,0,124,2
27,Hong Kong SAR,745,1,0,0,115,3
28,Jilin,2704,0,0,0,93,1
29,Xinjiang,2487,0,0,0,76,3
30,Ningxia,688,0,0,0,75,0
31,Inner Mongolia,2534,0,0,0,75,1
32,Taipei and environs,2359,0,0,0,45,1
33,Qinghai,603,0,0,0,18,0
34,Macao SAR,66,0,0,0,10,0
35,Xizang,344,0,0,0,1,0
36,Total,142823,20,36,17,80924,3140
,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since 
Reporting Country/ 
Total 
Transmission 
confirmed‡ 
confirmed 
new 
last reported 
Territory/Area† 
deaths 
classification§ 
cases 
new cases 
deaths 
case",,,,,,
1,Western Pacific Region,,,,,,
2,Republic of Korea,7513,131,54,3,Local transmission,0
3,Japan,514,26,9,2,Local transmission,0
4,Singapore,160,10,0,0,Local transmission,0
5,Malaysia,117,24,0,0,Local transmission,0
6,Australia,92,15,3,0,Local transmission,0
7,Philippines,33,23,1,0,Local transmission,0
8,Viet Nam,31,1,0,0,Local transmission,0
9,New Zealand,5,0,0,0,Local transmission,3
10,Cambodia,2,0,0,0,Local transmission,2
11,Brunei Darussalam,1,1,0,0,Imported cases only,0
12,Mongolia,1,1,0,0,Imported cases only,0
13,European Region,,,,,,
14,Italy,9172,1797,463,97,Local transmission,0
15,France,1402,286,30,11,Local transmission,0
16,Germany,1139,27,2,2,Local transmission,0
17,Spain,1024,435,28,18,Local transmission,0
18,Switzerland,332,0,2,0,Local transmission,1
19,The United Kingdom,323,46,3,1,Local transmission,0
20,Netherlands,321,56,3,0,Local transmission,0
21,Sweden,248,45,0,0,Local transmission,0
22,Belgium,239,39,0,0,Local transmission,0
23,Norway,192,23,0,0,Local transmission,0
24,Austria,131,19,0,0,Local transmission,0
25,Denmark,90,54,0,0,Local transmission,0
26,Greece,73,0,0,0,Local transmission,1
27,Iceland,55,0,0,0,Local transmission,2
28,San Marino,49,12,2,1,Local transmission,0
29,Finland,40,10,0,0,Local transmission,0
30,Israel,39,0,0,0,Local transmission,1
31,Czechia,38,6,0,0,Local transmission,0
32,Portugal,30,0,0,0,Local transmission,1
33,Ireland,24,3,0,0,Local transmission,0
34,Slovenia,23,7,0,0,Local transmission,0
35,Poland,16,5,0,0,Local transmission,0
36,Georgia,15,2,0,0,Imported cases only,0
37,Romania,15,0,0,0,Local transmission,1
38,Croatia,12,1,0,0,Local transmission,0
39,Estonia,10,0,0,0,Imported cases only,3
40,Azerbaijan,9,0,0,0,Imported cases only,3
41,Hungary,9,0,0,0,Local transmission,1
42,North Macedonia,7,4,0,0,Local transmission,0
43,Russian Federation,7,0,0,0,Imported cases only,3
44,Slovakia,7,2,0,0,Local transmission,0
45,Belarus,6,0,0,0,Local transmission,5
46,Latvia,6,3,0,0,Imported cases only,0
47,Luxembourg,5,3,0,0,Imported cases only,0
48,Bulgaria,4,0,0,0,Local transmission,2
,0,1,2,3,4,5,6
0,Malta,4,1,0,0,Imported cases only,0
1,Albania,2,0,0,0,Imported cases only,1
2,"Bosnia and 
Herzegovina",2,0,0,0,Local transmission,5
3,Cyprus,2,2,0,0,Imported cases only,0
4,Andorra,1,0,0,0,Imported cases only,7
5,Armenia,1,0,0,0,Imported cases only,8
6,Holy See,1,0,0,0,Under investigation,4
7,Liechtenstein,1,0,0,0,Imported cases only,4
8,Lithuania,1,0,0,0,Imported cases only,11
9,Monaco,1,0,0,0,Under investigation,9
10,Republic of Moldova,1,0,0,0,Imported cases only,2
11,Serbia,1,0,0,0,Under investigation,4
12,Ukraine,1,0,0,0,Imported cases only,6
13,Territories**,,,,,,
14,"Faroe Islands 
2 
0 
0 
0 
Imported cases only 
1",,,,,,
15,"Gibraltar 
1 
0 
0 
0 
Under investigation 
6",,,,,,
16,"Guernsey 
1 
1 
0 
0 
Imported cases only 
0",,,,,,
17,South-East Asia Region,,,,,,
18,Thailand,53,3,1,0,Local transmission,0
19,India,44,1,0,0,Local transmission,0
20,Indonesia,19,13,0,0,Local transmission,0
21,Maldives,4,0,0,0,Local transmission,1
22,Bangladesh,3,0,0,0,Local transmission,1
23,Bhutan,1,0,0,0,Imported cases only,4
24,Nepal,1,0,0,0,Imported cases only,46
25,Sri Lanka,1,0,0,0,Imported cases only,43
26,Eastern Mediterranean Region,,,,,,
27,"Iran (Islamic 
Republic of)",7161,595,237,43,Local transmission,0
28,Bahrain,109,30,0,0,Local transmission,0
29,Kuwait,65,1,0,0,Imported cases only,0
30,Iraq,61,1,6,0,Local transmission,0
31,Egypt,59,4,1,0,Local transmission,0
32,"United Arab 
Emirates",59,14,0,0,Local transmission,0
33,Lebanon,41,9,0,0,Local transmission,0
34,Oman,18,2,0,0,Imported cases only,0
35,Qatar,18,3,0,0,Imported cases only,0
36,Pakistan,16,10,0,0,Local transmission,0
37,Saudi Arabia,15,0,0,0,Imported cases only,1
38,Afghanistan,4,0,0,0,Imported cases only,2
39,Morocco,2,0,0,0,Imported cases only,5
40,Tunisia,2,0,0,0,Imported cases only,1
41,Jordan,1,0,0,0,Imported cases only,7
42,Territories**,,,,,,
43,"occupied Palestinian 
territory 
26 
7 
0 
0 
Local transmission 
0",,,,,,
44,Region of the Americas,,,,,,
45,"United States of 
America",472,259,19,8,Local transmission,0
46,Canada,77,15,0,0,Local transmission,0
47,Brazil,25,0,0,0,Local transmission,1
,0,1,2,3,4,5,6
0,Ecuador,15,0,0,0,Local transmission,1
1,Chile,13,3,0,0,Local transmission,0
2,Argentina,12,0,1,0,Imported cases only,1
3,Costa Rica,9,0,0,0,Local transmission,1
4,Peru,9,3,0,0,Local transmission,0
5,Mexico,7,0,0,0,Imported cases only,2
6,Dominican Republic,5,4,0,0,Imported cases only,0
7,Colombia,3,2,0,0,Imported cases only,0
8,Panama,1,1,0,0,Imported cases only,0
9,Paraguay,1,0,0,0,Imported cases only,1
10,Territories**,,,,,,
11,French Guiana,5,0,0,0,Imported cases only,2
12,Martinique,2,0,0,0,Imported cases only,2
13,Saint Martin,2,0,0,0,Under investigation,7
14,Saint Barthelemy,1,0,0,0,Under investigation,7
15,African Region,,,,,,
16,Algeria,20,0,0,0,Local transmission,1
17,South Africa,7,4,0,0,Imported cases only,0
18,Senegal,4,0,0,0,Imported cases only,5
19,Cameroon,2,0,0,0,Local transmission,3
20,Nigeria,2,0,0,0,Imported cases only,1
21,Togo,1,0,0,0,Imported cases only,3
22,"Subtotal for all 
regions",32082,4105,865,186,,
23,"International 
conveyance 
(Diamond Princess)",696,0,7,0,Local transmission,2
24,Grand total,32778,4105,872,186,,
,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,,,,,,,,,,
