,0,1,2,3,4
0,,,,,
1,,,,,
,0,1,2,3,4,5,6
0,"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,
1,,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths
2,Hubei,5917,8,2,10,67781,3056
3,Guangdong,11346,3,1,0,1356,8
4,Henan,9605,1,0,0,1273,22
5,Zhejiang,5737,0,0,0,1215,1
6,Hunan,6899,0,0,0,1018,4
7,Anhui,6324,0,0,0,990,6
8,Jiangxi,4648,0,0,0,935,1
9,Shandong,10047,1,0,0,760,6
10,Jiangsu,8051,0,0,0,631,0
11,Chongqing,3102,0,0,0,576,6
12,Sichuan,8341,0,0,0,539,3
13,Heilongjiang,3773,0,0,0,482,13
14,Beijing,2154,0,5,0,435,8
15,Shanghai,2424,0,19,0,344,3
16,Hebei,7556,0,0,0,318,6
17,Fujian,3941,0,0,0,296,1
18,Guangxi,4926,0,0,0,252,2
19,Shaanxi,3864,0,0,1,245,2
20,Yunnan,4830,0,1,0,174,2
21,Hainan,934,0,1,0,168,6
22,Guizhou,3600,0,0,0,146,2
23,Tianjin,1560,0,4,0,136,3
24,Shanxi,3718,0,0,0,133,0
25,Hong Kong SAR,745,9,0,0,129,3
26,Gansu,2637,2,0,0,127,2
27,Liaoning,4359,0,0,0,125,1
28,Jilin,2704,0,0,0,93,1
29,Xinjiang,2487,0,0,0,76,3
30,Ningxia,688,0,0,0,75,0
31,Inner Mongolia,2534,0,0,0,75,1
32,Taipei and environs,2359,2,0,0,49,1
33,Qinghai,603,0,0,0,18,0
34,Macao SAR,66,0,0,0,10,0
35,Xizang,344,0,0,0,1,0
36,Total,142823,26,33,11,80981,3173
,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases 
deaths",,,,,,
1,Western Pacific Region,,,,,,
2,Republic of Korea,7869,114,66,6,Local transmission,0
3,Japan,620,52,15,3,Local transmission,0
4,Singapore,178,12,0,0,Local transmission,0
5,Malaysia,129,0,0,0,Local transmission,1
6,Australia,122,10,3,0,Local transmission,0
7,Philippines,52,3,2,1,Local transmission,0
8,Viet Nam,39,4,0,0,Local transmission,0
9,Brunei Darussalam,12,11,0,0,Local transmission,0
10,New Zealand,5,0,0,0,Local transmission,5
11,Cambodia,3,0,0,0,Local transmission,1
12,Mongolia,1,0,0,0,Imported cases only,2
13,Territories**,,,,,,
14,"French Polynesia 
1 
1 
0 
0 
Imported cases only 
0",,,,,,
15,European Region,,,,,,
