,0,1
0,"Study Protocol 
Objectives",
1,"The First Few COVID-19 
cases and contacts 
transmission investigation 
protocol (FFX)","To provide descriptions and/or estimates of the: 
• 
clinical presentation of COVID-19 infection and course of associated disease 
• 
secondary infection rate (SIR) and secondary clinical attack rate of COVID-19 
infection among close contacts (overall, and by key factors such as setting, age 
and sex, for various end-points) 
• 
serial interval of COVID-19 infection 
• 
symptomatic proportion of COVID-19 cases (through contact tracing and 
laboratory testing); and identification of possible routes of transmission"
2,"Households transmission 
of COVID-19 investigation 
protocol","• 
To better understand the extent of transmission within a household by estimating 
the secondary infection rate for household contacts at an individual level, and 
factors associated with any variation in the secondary infection risk 
• 
To characterize secondary cases including the range of clinical presentation, risk 
factors for infection, and the extent and fraction of asymptomatic infections 
• 
To characterize serologic response following confirmed COVID-19 infection"
3,"Assessment of COVID-19 
risk factors among Health 
workers protocol","• 
To better understand the extent of human-to-human transmission among health 
care workers, by estimating the secondary infection rate for health care worker 
contacts at an individual level 
• 
To characterize the range of clinical presentation of infection and the risk factors 
for infection among health care workers 
• 
To evaluate effectiveness of infection prevention and control measures among 
health care workers"
4,"Surface sampling of 
COVID-19 for health care 
professionals","• 
To assess the extent and persistence of surface contamination with COVID-19 
virus 
• 
To identify environmental surfaces which may play a role in onwards transmission 
of COVID-19 infection"
5,"Population based 
serologic survey","• 
To estimate age-specific seroprevalence"
,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases1 
deaths1",,,,,,
1,Western Pacific Region,,,,,,
2,China,81174,58,3242,11,Local transmission,0
3,Republic of Korea,8413,93,84,3,Local transmission,0
4,Japan,873,44,29,1,Local transmission,0
5,Malaysia,673,120,2,2,Local transmission,0
6,Australia,510,96,6,1,Local transmission,0
7,Singapore,313,47,0,0,Local transmission,0
8,Philippines,187,0,14,2,Local transmission,1
9,Viet Nam,66,5,0,0,Local transmission,0
10,Brunei Darussalam,56,2,0,0,Local transmission,0
11,Cambodia,35,11,0,0,Local transmission,0
12,New Zealand,20,9,0,0,Local transmission,0
13,Mongolia,5,1,0,0,Imported cases only,0
14,Territories**,,,,,,
15,"Guam 
5 
2 
0 
0 
Local transmission 
0",,,,,,
16,"French Polynesia 
3 
0 
0 
0 
Imported cases only 
3",,,,,,
17,European Region,,,,,,
18,Italy,35713,4207,2978,473,Local transmission,0
19,Spain,13716,2538,598,107,Local transmission,0
20,France,9043,0,244,0,Local transmission,1
21,Germany,8198,1042,13,0,Local transmission,0
22,Switzerland,3010,353,21,2,Local transmission,0
23,The United Kingdom,2630,672,103,0,Local transmission,0
24,Netherlands,2051,0,58,0,Local transmission,1
25,Austria,1646,314,4,1,Local transmission,0
26,Belgium,1486,0,14,0,Local transmission,1
27,Norway,1423,115,3,0,Local transmission,0
28,Sweden,1279,112,3,0,Local transmission,0
29,Denmark,1044,67,4,0,Local transmission,0
30,Portugal,642,194,2,1,Local transmission,0
31,Czechia,522,30,0,0,Local transmission,0
32,Israel,427,0,0,0,Local transmission,2
33,Greece,418,0,5,0,Local transmission,1
34,Finland,359,40,0,0,Local transmission,0
35,Ireland,292,0,2,0,Local transmission,1
36,Poland,287,0,5,0,Local transmission,1
37,Slovenia,286,0,1,0,Local transmission,1
38,Estonia,258,33,0,0,Local transmission,0
39,Iceland,250,25,0,0,Local transmission,0
40,Romania,246,62,0,0,Local transmission,0
41,Luxembourg,210,63,2,1,Local transmission,0
42,Turkey,191,51,2,1,Local transmission,0
43,Russian Federation,147,54,0,0,Imported cases only,0
44,San Marino,109,5,14,3,Local transmission,0
45,Slovakia,105,8,0,0,Local transmission,0
46,Serbia††,96,11,0,0,Local transmission,0
47,Bulgaria,92,11,2,0,Local transmission,0
,0,1,2,3,4,5,6
0,Armenia,84,32,0,0,Local transmission,0
1,Croatia,81,16,0,0,Local transmission,0
2,Latvia,71,11,0,0,Imported cases only,0
3,Albania,59,2,2,1,Local transmission,0
4,Cyprus,58,25,0,0,Local transmission,0
5,Hungary,58,8,1,0,Local transmission,0
6,Malta,48,10,0,0,Imported cases only,0
7,Belarus,46,10,0,0,Local transmission,0
8,Georgia,38,4,0,0,Imported cases only,0
9,"Bosnia and 
Herzegovina",36,7,0,0,Local transmission,0
10,Kazakhstan,36,3,0,0,Imported cases only,0
11,North Macedonia,36,5,0,0,Local transmission,0
12,Republic of Moldova,36,0,0,0,Local transmission,1
13,Azerbaijan,34,13,1,1,Imported cases only,0
14,Lithuania,26,1,0,0,Imported cases only,0
15,Liechtenstein,25,18,0,0,Imported cases only,0
16,Ukraine,16,7,2,0,Local transmission,0
